Bsic Attention Token,Chiliz,Holochain,Polygon,Raven Coin,Stellar Lumen,VeChain,Zilliqa
0.87755152,0.3098843,0.00859193,1.84145094,0.09918888,0.49759036,0.13179658,0.14417014
0.76158714,0.2650332,0.00726268,1.65939015,0.08646582,0.4504267,0.10766928,0.11200203
1.10675267,0.41855783,0.01101177,2.45436722,0.12997003,0.64711452,0.16207926,0.17526396
1.0628988,0.4063435,0.01099253,1.72797302,0.12562302,0.64560131,0.15802102,0.16948099
1.14082833,0.43699506,0.01167893,1.71474489,0.13671071,0.71430191,0.17673742,0.18280309
1.13846086,0.43134549,0.01081575,1.60818498,0.13616023,0.67624091,0.17209523,0.1857668
1.21894998,0.43652002,0.01184859,1.47076242,0.13943785,0.6680418,0.18673977,0.20073185
1.19218653,0.42762799,0.01125823,1.05315425,0.13627483,0.64415073,0.18207064,0.18557965
1.17830121,0.38961439,0.01071625,1.01901392,0.13004629,0.58870461,0.16456216,0.17881016
1.39380083,0.45911443,0.01303838,1.06921983,0.15770426,0.7299956,0.21282739,0.2195593
1.3153423,0.43459958,0.01266682,0.87506854,0.15023427,0.6595791,0.20280235,0.20751148
1.4142831,0.48512924,0.01441062,0.96986531,0.16852362,0.6285886,0.23375691,0.2345832
1.41879768,0.49674821,0.01475766,0.84825804,0.1748851,0.61655136,0.22331209,0.23494649
1.40796393,0.50498692,0.01524588,0.75312919,0.17454299,0.63037681,0.23084553,0.2263159
1.40054871,0.50433147,0.01500056,0.76178534,0.18169968,0.65103201,0.21527984,0.23459672
1.36622586,0.5183001,0.01476647,0.8110845,0.1747603,0.6034291,0.20731901,0.21170412
1.17185282,0.4880085,0.01355416,0.70438289,0.16129744,0.50332286,0.18857881,0.19386066
1.29227623,0.52416163,0.01530893,0.79613902,0.18330829,0.55214185,0.21077949,0.21184855
1.25654572,0.53148474,0.01554717,0.82451183,0.18867257,0.55949182,0.21602791,0.20434647
1.27062761,0.55366378,0.01618994,0.78682122,0.18418697,0.53980174,0.20418959,0.21040957
1.26317044,0.56985558,0.01608625,0.82056797,0.17149587,0.52952624,0.20107878,0.20527369
1.18883219,0.56301244,0.01538527,0.89087245,0.1639329,0.49179688,0.19135705,0.19160072
1.19943916,0.53565915,0.01585681,0.77311347,0.16399592,0.49734937,0.1985996,0.19845464
1.25598653,0.51677807,0.01645616,0.8327537,0.16986906,0.5094793,0.20891984,0.21157598
1.19587159,0.45695878,0.01406307,0.53519298,0.15706778,0.48560983,0.18886194,0.16489537
1.02181165,0.39133692,0.0116831,0.38288434,0.12916706,0.41643824,0.16777871,0.14071504
1.03204949,0.38786968,0.01202947,0.35342761,0.13078587,0.42574584,0.17827859,0.14324866
1.18493722,0.42989163,0.01264088,0.38180802,0.14431326,0.45089188,0.20128502,0.15856121
1.10246099,0.46497806,0.01274144,0.34944466,0.15319655,0.45034616,0.19079713,0.16243264
1.22994184,0.52377509,0.01500402,0.35922949,0.17285632,0.49208796,0.22723066,0.17617058
1.27345189,0.51398496,0.01611538,0.3415241,0.18198031,0.52794989,0.25199664,0.1922711
1.32472598,0.50654307,0.01584722,0.32720032,0.18377892,0.50123362,0.22933907,0.18172046
1.3465765,0.54892608,0.01707558,0.3629007,0.19604965,0.54473406,0.25463234,0.20174507
1.48879979,0.6264797,0.018929,0.4062525,0.21779395,0.59925456,0.22758538,0.22258805
1.52785252,0.77391591,0.01907259,0.43644732,0.20355011,0.61326312,0.2380889,0.23761595
1.52261406,0.53570203,0.01863968,0.44273302,0.22329132,0.64103984,0.17657083,0.21641977
1.46643327,0.50582004,0.01765436,0.41468006,0.23593242,0.63673458,0.16874282,0.20057419
1.49968136,0.51800045,0.01874265,0.42207379,0.19159212,0.65535599,0.15296157,0.20233333
1.4220549,0.56860779,0.01885751,0.35804441,0.18632726,0.59059241,0.12892255,0.19647751
1.4446827,0.46616427,0.01978462,0.37053225,0.18721505,0.58880994,0.13974241,0.20541997
1.47257273,0.46066808,0.01917181,0.35847076,0.18862616,0.56182902,0.14262582,0.20819856
1.53359893,0.48220247,0.0209893,0.36760301,0.1882069,0.48638725,0.12656293,0.2184402
1.29369834,0.48934226,0.02320504,0.35630634,0.18572088,0.50681599,0.1172486,0.20650767
1.18790573,0.45195988,0.02047005,0.33720752,0.17838813,0.47328047,0.10571011,0.19116513
1.33693138,0.44819603,0.02276702,0.3745662,0.18654872,0.54274415,0.11270021,0.20565533
1.28569321,0.46166772,0.02848142,0.37003317,0.19529872,0.5363666,0.10255997,0.21181981
1.18698848,0.50056991,0.02805281,0.36263688,0.18763083,0.43780683,0.09408678,0.22177712
1.13062676,0.46608132,0.02342287,0.35403096,0.18360246,0.41805404,0.08881944,0.18442257
1.20893479,0.50590394,0.02402803,0.38400213,0.19346433,0.44658496,0.09503964,0.2049156
1.16350552,0.50238487,0.01752758,0.36422169,0.19404148,0.43251203,0.08903989,0.18062092
1.14229799,0.50691599,0.01681359,0.35993419,0.1885458,0.41089808,0.08805684,0.17817841
1.1750736,0.53057401,0.01813822,0.37128031,0.19465732,0.40594096,0.0896852,0.18486797
1.13932953,0.53158087,0.01282588,0.38394602,0.19945917,0.40788306,0.09208889,0.17903494
1.1178447,0.54412293,0.01016438,0.34601016,0.19957888,0.39934099,0.09120937,0.17279471
1.08172464,0.52364884,0.00997067,0.33344405,0.20123041,0.38472186,0.08910787,0.16734113
1.07468627,0.5163739,0.01031692,0.33680373,0.20101997,0.38750515,0.08998578,0.16827363
0.97478602,0.48600077,0.0078253,0.30185064,0.19006968,0.3659004,0.08140317,0.15524412
0.99312804,0.49307115,0.00737428,0.3249786,0.19074825,0.36863908,0.08535404,0.15889568
1.0608673,0.51432716,0.00773364,0.33169397,0.19470269,0.40008575,0.08345434,0.16820256
1.09363513,0.51080513,0.00750387,0.3487457,0.20101159,0.39674021,0.08889458,0.16320234
1.11595224,0.55428708,0.00788015,0.38107201,0.21560845,0.40499879,0.09409892,0.17516386
1.08874706,0.54839113,0.00781854,0.38361522,0.21990312,0.41748777,0.08936774,0.17213727
1.18944035,0.61058194,0.00822653,0.41178298,0.21320892,0.39832757,0.08134496,0.18461958
1.21739613,0.64501573,0.00717907,0.39073417,0.21050408,0.39760939,0.07776728,0.17998725
1.23096296,0.58485984,0.00721856,0.40325937,0.22011492,0.40474374,0.0766342,0.19958805
1.02907477,0.52377463,0.0068239,0.37322167,0.22086284,0.39574702,0.07438201,0.15477787
0.76101922,0.61033729,0.007186,0.39295887,0.21712419,0.38549948,0.07876144,0.16125136
0.77034088,0.65884481,0.0073342,0.38288084,0.18054586,0.39153298,0.06663315,0.16488643
0.81524514,0.59169541,0.00462563,0.42513381,0.19025105,0.40826444,0.06759285,0.18134956
0.75585115,0.72755863,0.0029188,0.41440791,0.18488897,0.3878707,0.06589816,0.16376056
0.80242859,0.3558107,0.00313642,0.41060524,0.18112487,0.40590001,0.067276,0.17659821
0.81883344,0.24970196,0.00311295,0.28752358,0.18132352,0.41076942,0.06142499,0.12775873
0.74560707,0.2661895,0.00313824,0.29898141,0.17534851,0.43265022,0.06462479,0.13483435
0.73890438,0.21835281,0.00299924,0.21662215,0.15341967,0.41753184,0.06540055,0.12514438
0.6942846,0.12862124,0.00304863,0.21224267,0.15813534,0.41284357,0.05692031,0.11805658
0.66574539,0.11346632,0.00299325,0.212986,0.1553691,0.40331018,0.05312822,0.11590851
0.68180373,0.11142729,0.00302635,0.21517051,0.15541071,0.40617013,0.05213963,0.11651051
0.69374006,0.11866961,0.00247459,0.20039462,0.14932568,0.41322238,0.05034355,0.1189918
0.76720235,0.08573585,0.00269913,0.22393534,0.15934026,0.42210502,0.05324453,0.12696681
0.6020645,0.06554502,0.00267929,0.23189307,0.1603098,0.41956493,0.04381291,0.11442819
0.58218015,0.05654704,0.00281409,0.2515724,0.16966804,0.43031848,0.04566778,0.11568526
0.51933506,0.05088955,0.00244392,0.2288467,0.13114607,0.4066509,0.03965532,0.10757975
0.51563198,0.0535135,0.00265398,0.19753262,0.14231141,0.441458,0.04092814,0.11614251
0.52619838,0.05063912,0.00279659,0.19060167,0.15490522,0.40067764,0.03951549,0.10976885
0.48151268,0.05043839,0.0029804,0.17617859,0.16280438,0.38126871,0.03926583,0.10889448
0.51492027,0.05153646,0.00314575,0.16024287,0.18188218,0.40723952,0.04285946,0.11267961
0.47218227,0.04208465,0.00296202,0.13700505,0.17899978,0.38652963,0.04184993,0.10478102
0.53968024,0.0480215,0.00343277,0.15200545,0.2007306,0.46695725,0.05022632,0.1235842
0.60574032,0.05449049,0.00354472,0.16225044,0.20932286,0.49876793,0.05483561,0.13790597
0.57995559,0.05150714,0.00228805,0.14608053,0.22797924,0.48800631,0.05367871,0.13577004
0.61258899,0.05398499,0.00184889,0.15483962,0.14554424,0.51360199,0.05361699,0.14787953
0.63375737,0.03961017,0.00149082,0.12274366,0.09939774,0.49750761,0.054591,0.13905849
0.575362,0.0363613,0.0015409,0.11221993,0.07408709,0.49700193,0.05138834,0.13686312
0.55518058,0.03465541,0.00128693,0.10890014,0.07865905,0.48661002,0.04941764,0.13194511
0.53897901,0.03456005,0.00128739,0.10760538,0.07495013,0.49376194,0.05089761,0.13200683
0.56174858,0.03485523,0.00128536,0.10092214,0.07307685,0.5176439,0.05266925,0.13357016
0.61793751,0.03663354,0.0013905,0.11165011,0.05779906,0.5599478,0.05470323,0.14777923
0.6281119,0.0357052,0.00140151,0.12123293,0.05022387,0.52784279,0.05469937,0.11790942
0.59318643,0.03047159,0.00128593,0.12361144,0.04829934,0.45291178,0.04271793,0.11551004
0.44191916,0.02926305,0.00112096,0.11701563,0.04918746,0.41241884,0.03583478,0.10413096
0.4337397,0.02656296,0.00119433,0.09886833,0.04216495,0.39673711,0.03533881,0.10299287
0.41846095,0.02427436,0.00110658,0.07126767,0.03460978,0.39560616,0.03139687,0.07955766
0.40839344,0.02286827,0.00080151,0.06764239,0.03190943,0.38347284,0.02894149,0.07592765
0.35257215,0.02354147,0.00079372,0.05240562,0.03131621,0.37629988,0.02992411,0.07835081
0.37064988,0.02519843,0.00082267,0.05476713,0.03006186,0.34960665,0.03209234,0.08231834
0.31271587,0.0230961,0.00078144,0.04734745,0.02592333,0.32522932,0.02768959,0.07602378
0.32185386,0.02380685,0.00080547,0.04383639,0.0246954,0.34215116,0.029191,0.07945816
0.31707973,0.02256787,0.00079113,0.04108349,0.02466962,0.33662008,0.02811268,0.07754679
0.31508906,0.02237869,0.00075689,0.04087726,0.02396383,0.32183469,0.02935417,0.07452708
0.30224968,0.02156089,0.0007528,0.03827936,0.02453403,0.30570228,0.02542401,0.06897349
0.31524729,0.02105602,0.00077234,0.03992491,0.02311283,0.32486617,0.0268813,0.07288331
0.30912915,0.01988541,0.00080395,0.0402772,0.02703668,0.29467435,0.02790604,0.06720322
0.30781588,0.01996684,0.00074323,0.03889192,0.01632802,0.29224121,0.02758948,0.06573344
0.30517286,0.01903569,0.00062463,0.04207156,0.01527109,0.23907035,0.02646781,0.0624053
0.29888454,0.02055143,0.00066889,0.04336049,0.01648767,0.26156682,0.02944535,0.06784611
0.30153844,0.01896927,0.00066434,0.03297828,0.01661843,0.26217866,0.02986503,0.06688706
0.31908994,0.01982221,0.00069341,0.03317671,0.01717314,0.27155645,0.03063146,0.06910405
0.32931028,0.01979052,0.00069048,0.03397485,0.01716581,0.26975519,0.03004111,0.0678722
0.31447963,0.01977369,0.00065361,0.03129824,0.0173023,0.27050141,0.03141445,0.06763541
0.24474067,0.01886037,0.00061129,0.02860443,0.01581405,0.25260259,0.02798328,0.06236792
0.27900017,0.02225791,0.00070999,0.03453349,0.01781974,0.29435071,0.03467755,0.07412874
0.27019967,0.02295036,0.000709,0.0325139,0.01798314,0.29940454,0.02919123,0.07388515
0.28283248,0.02057668,0.0007234,0.03605333,0.01892095,0.30361074,0.03063434,0.07848841
0.27284169,0.0195715,0.00070865,0.03401999,0.01728747,0.3035661,0.02711724,0.07329133
0.26764621,0.01975924,0.00071747,0.03276798,0.01621774,0.29201915,0.02696062,0.07366777
0.24813346,0.01916777,0.00069544,0.03401425,0.01642327,0.28494095,0.0253113,0.06636166
0.24565906,0.01958231,0.00077709,0.03283134,0.0162387,0.30261974,0.02565326,0.06907035
0.24936101,0.0202394,0.00081441,0.03007013,0.01632261,0.30402207,0.02610924,0.07047378
0.23087214,0.0175419,0.00083559,0.02608995,0.01481701,0.2817427,0.02275053,0.06202556
0.22922252,0.01777626,0.00089086,0.02612352,0.01492378,0.27223839,0.02431599,0.06531315
0.25795647,0.01949584,0.00097797,0.03041079,0.01682049,0.28874908,0.02718758,0.07372266
0.27538999,0.02031127,0.00099333,0.03351304,0.0177402,0.31193549,0.02894904,0.07639691
0.25102338,0.01938746,0.00081527,0.03173899,0.01627641,0.30283606,0.02742101,0.07383723
0.25676576,0.02015207,0.00078339,0.03299935,0.01559889,0.31579685,0.02870404,0.07607986
0.25045774,0.02113132,0.00076882,0.03513488,0.01575933,0.34079313,0.03079364,0.07818729
0.23188668,0.02000888,0.00073426,0.02446734,0.01493284,0.19482343,0.02790945,0.0704876
0.21786988,0.01881375,0.00073535,0.02461427,0.01362054,0.16518009,0.02466486,0.07037095
0.21646853,0.01953294,0.00075287,0.01997515,0.01402545,0.13642297,0.02592107,0.06795415
0.20401618,0.01940077,0.00080198,0.01904306,0.01306106,0.12782007,0.0199848,0.07270401
0.20512554,0.02090444,0.00064032,0.01781169,0.01297455,0.13240799,0.01908011,0.07907546
0.19966008,0.02140569,0.00060212,0.01763311,0.01256817,0.12836955,0.01877717,0.08265417
0.20169651,0.02295817,0.00059247,0.01813547,0.01301792,0.13191266,0.02025278,0.07744531
0.20570899,0.02866126,0.00057,0.01844923,0.01279947,0.1388149,0.02103005,0.08420929
0.21089122,0.02774618,0.00057406,0.01887333,0.01333364,0.14437471,0.02017304,0.08948315
0.2086458,0.02388164,0.00058853,0.01830067,0.01321162,0.14497284,0.01649867,0.07644472
0.21341419,0.02119931,0.00060245,0.01929401,0.01359084,0.14704709,0.01643357,0.08598165
0.21418989,0.01911436,0.00059063,0.01662084,0.01331326,0.15258738,0.01458231,0.06325967
0.21816538,0.01881261,0.00058019,0.01646324,0.01348363,0.15962023,0.01487864,0.05938761
0.19238029,0.01829533,0.00055727,0.0152044,0.01241708,0.12647102,0.01316908,0.05742151
0.21797693,0.01735382,0.00064173,0.01864587,0.01375,0.16218486,0.01587294,0.05152308
0.22485365,0.01879438,0.00061698,0.01815522,0.01373516,0.16635673,0.01557013,0.04972972
0.23199196,0.01576468,0.00061393,0.01921978,0.01463304,0.17697873,0.01630663,0.04623743
0.24502592,0.0161243,0.00061913,0.01998174,0.01541236,0.18183732,0.01737384,0.04991216
0.24952607,0.01477318,0.00061469,0.02059935,0.0141476,0.18512687,0.01744466,0.04377508
0.22680824,0.01452103,0.00061724,0.01895797,0.01379652,0.18593514,0.01706112,0.03776497
0.23214143,0.01429727,0.00060217,0.0194337,0.01394217,0.19140137,0.01725377,0.03904669
0.21884561,0.0149336,0.00058872,0.01948868,0.01361974,0.16655667,0.01651474,0.03502926
0.21758199,0.01469441,0.00058937,0.01838377,0.01371512,0.16976176,0.01635982,0.03290888
0.21260002,0.01254012,0.00055323,0.01809945,0.01373912,0.17485158,0.01646122,0.03261627
0.21104639,0.01238729,0.00053528,0.01786873,0.01387713,0.15894956,0.01651107,0.0326814
0.20304152,0.01242883,0.00053644,0.01749841,0.01351739,0.15117957,0.01560552,0.02962667
0.20959681,0.01204243,0.00055207,0.01777077,0.01345516,0.16110208,0.0159095,0.03268083
0.21964676,0.01217835,0.00055702,0.01809287,0.01383558,0.1722235,0.01680604,0.0310994
0.21970925,0.01227185,0.00056947,0.01760493,0.01342771,0.15280335,0.0163551,0.03130286
0.23567191,0.0127926,0.00060693,0.0191994,0.01434312,0.16845983,0.01813316,0.03547774
0.2356869,0.01265773,0.00061811,0.01957154,0.01458006,0.17563025,0.01715767,0.03538677
0.23440211,0.01264567,0.00061147,0.01973351,0.01463307,0.17171817,0.01749452,0.03397845
0.2296102,0.01230717,0.00060435,0.01887123,0.01389232,0.16285452,0.01577396,0.02961903
0.24090851,0.01299758,0.00063517,0.02080643,0.01510423,0.18430375,0.01739001,0.0335195
0.24076986,0.01288622,0.00061817,0.01933362,0.0142228,0.18515054,0.01639513,0.03110172
0.23413207,0.01218828,0.00060338,0.01872153,0.01408796,0.18442527,0.01475701,0.02797605
0.24244082,0.01207566,0.00064741,0.01956298,0.01456263,0.20209288,0.015976,0.02919669
0.23394421,0.01162741,0.00058951,0.01885621,0.01410362,0.19422412,0.01517858,0.02918394
0.22920693,0.0117808,0.00059026,0.01874988,0.01428093,0.20020316,0.01533796,0.02667131
0.22421776,0.0115874,0.00056618,0.01770484,0.01397038,0.20640935,0.01448564,0.02457986
0.22333283,0.01195535,0.00059438,0.0177797,0.01400412,0.16754814,0.01454529,0.02579663
0.25649793,0.01347122,0.00065692,0.02129547,0.01562895,0.19520212,0.01656448,0.02893494
0.26084676,0.01250725,0.00068727,0.02166362,0.01635413,0.19547983,0.01613401,0.0252912
0.24816666,0.01188158,0.00058432,0.02116329,0.01465115,0.13059927,0.01602985,0.02433507
0.21624069,0.01109267,0.00060861,0.01903587,0.01345591,0.10352625,0.01384641,0.02243152
0.22741845,0.01142487,0.00054758,0.01975772,0.01381943,0.10840489,0.01435683,0.02351435
0.20172914,0.01089662,0.00048014,0.01786993,0.01255911,0.08830738,0.0120362,0.02239483
0.19760892,0.01050404,0.00050176,0.01727233,0.01270576,0.08390624,0.01150221,0.02106214
0.20050759,0.01058225,0.00051507,0.01709345,0.0127758,0.08361524,0.01180943,0.02171063
0.20522838,0.01093668,0.00050826,0.01769366,0.0131625,0.0860754,0.01234681,0.02275226
0.19806733,0.01097443,0.00049829,0.01660968,0.01277346,0.08189586,0.01133671,0.02114398
0.194188,0.01062352,0.0005033,0.01646086,0.01279385,0.08029435,0.01103568,0.01990569
0.19621886,0.01073118,0.00049029,0.01675115,0.01273152,0.08115832,0.01124481,0.02009513
0.2027414,0.01094232,0.00048768,0.01691735,0.01313126,0.08231771,0.01182433,0.02021123
0.19520199,0.01051867,0.00046351,0.01586022,0.01277442,0.08066601,0.01064993,0.01912962
0.1996757,0.01074753,0.00049288,0.01660273,0.01296472,0.08069167,0.01138692,0.02021863
0.20176896,0.01089526,0.00048087,0.01731435,0.01317122,0.07982808,0.01158075,0.02016071
0.19350661,0.01073407,0.00048568,0.01563379,0.01245428,0.07967746,0.01104167,0.0192759
0.19829336,0.01039362,0.00048653,0.01573523,0.012461,0.08153846,0.01112608,0.01922247
0.19250042,0.01000056,0.00047371,0.01439344,0.01183606,0.07961391,0.01038645,0.01831289
0.20356066,0.01045417,0.00047803,0.01550912,0.01258913,0.08387438,0.01119775,0.02023981
0.19130803,0.00969924,0.00043708,0.0134766,0.01214598,0.08017504,0.00973349,0.01854988
0.18485425,0.00966294,0.00045846,0.01225149,0.01186057,0.07459282,0.00939714,0.01729017
0.18010855,0.00938502,0.00045708,0.01271735,0.01141657,0.07531125,0.00924434,0.01730599
0.18211829,0.00939198,0.00045692,0.01368788,0.01115323,0.07566041,0.01006589,0.01715903
0.18854794,0.0095709,0.00046444,0.01410738,0.01109713,0.07847773,0.01048722,0.01787132
0.18402692,0.00938117,0.0004641,0.01372149,0.01129535,0.07767283,0.00988731,0.0176505
0.18823642,0.00945104,0.00046091,0.01391043,0.01109952,0.0767633,0.01008204,0.01747617
0.18924851,0.00954981,0.00046704,0.01387654,0.011386,0.07745294,0.0101856,0.01750443
0.19508467,0.0099329,0.00047555,0.01508613,0.01130464,0.07859164,0.01066513,0.01769019
0.2137528,0.01023196,0.00050339,0.01579975,0.01171317,0.08180863,0.01137787,0.01851302
0.21319768,0.0104097,0.0004826,0.01656164,0.01196641,0.08090656,0.01140655,0.01838001
0.21234522,0.01063257,0.00049372,0.01716491,0.01229597,0.08314275,0.01178533,0.01897385
0.22111335,0.01086,0.00050397,0.01768265,0.01254349,0.08543687,0.01228765,0.01941895
0.21989821,0.0106599,0.00051257,0.01704039,0.01250725,0.08379547,0.01222949,0.01966129
0.22141333,0.0107729,0.00053236,0.01740448,0.01251651,0.08528012,0.01213401,0.01941746
0.21487309,0.01054571,0.00052984,0.01638341,0.01238612,0.08377958,0.01135978,0.0185786
0.20868765,0.01041374,0.00051036,0.01563194,0.01230206,0.08090614,0.01081237,0.01827379
0.2142892,0.01067872,0.00049703,0.01620458,0.01274445,0.08524855,0.01141918,0.01977129
0.21393672,0.01073271,0.0004909,0.01688717,0.01273212,0.07955065,0.01163239,0.0184395
0.21477333,0.01061978,0.00048228,0.01674202,0.01273859,0.08191619,0.01099892,0.01806292
0.20714287,0.01056499,0.00048249,0.01625258,0.01277941,0.07870242,0.01059486,0.01800526
0.21323052,0.01072445,0.00048698,0.01719018,0.01273159,0.07404083,0.01095288,0.01861581
0.21528832,0.01087425,0.0004928,0.01723549,0.01298096,0.07428265,0.01114737,0.01902572
0.21700317,0.01099906,0.00050367,0.01769808,0.01325457,0.07634499,0.01148845,0.01998431
0.22086494,0.0110803,0.00051312,0.01790451,0.01377884,0.07768299,0.0114147,0.02030302
0.22164187,0.01114397,0.00050125,0.01785476,0.01409403,0.07722922,0.01144696,0.02063144
0.22097601,0.01118164,0.00047863,0.01720724,0.01381987,0.07737274,0.01140653,0.0197781
0.22244943,0.01111893,0.00047864,0.01709394,0.01372057,0.07514366,0.01148756,0.0201677
0.21716868,0.01059993,0.00047197,0.01663151,0.01305391,0.07309526,0.01098515,0.01914734
0.21467683,0.01027758,0.00046174,0.01695833,0.01287312,0.07230143,0.0112283,0.01885575
0.21028629,0.01033606,0.00045276,0.01716478,0.01267052,0.07250057,0.01012278,0.01820407
0.22123247,0.01102955,0.00046612,0.01884108,0.01362878,0.07341868,0.01138805,0.02079556
0.22151101,0.01103297,0.00047005,0.01860203,0.01324595,0.072955,0.01168321,0.02127657
0.22110047,0.01081805,0.00046881,0.01855016,0.01330859,0.07115728,0.0117457,0.01859457
0.22389558,0.01064359,0.00047708,0.01827247,0.01327897,0.07109737,0.01187593,0.01808946
0.23020234,0.01119525,0.00047864,0.01897961,0.01364285,0.07317203,0.0127356,0.01940927
0.23876088,0.01148274,0.00048445,0.02015318,0.01417254,0.07482449,0.01349869,0.01953438
0.23636764,0.0110276,0.00048811,0.01967513,0.01409954,0.07413982,0.0131842,0.01746408
0.23499459,0.01090677,0.00048292,0.01888643,0.01408293,0.07354024,0.01283559,0.0151426
0.22933914,0.01105316,0.000477,0.01873643,0.01456322,0.07333608,0.01274347,0.01550447
0.23308534,0.01121489,0.00049302,0.01892806,0.01465802,0.07396257,0.01288638,0.01636222
0.23233334,0.01118255,0.0004997,0.0191456,0.01452462,0.07445868,0.012896,0.0159223
0.22594255,0.01142411,0.00049203,0.0189872,0.01393825,0.07036963,0.01239793,0.01461464
0.21326493,0.01038139,0.00046322,0.01770939,0.0131772,0.06757439,0.01139625,0.01390751
0.228298063,0.011266643,0.000503245,0.01964677,0.014196192,0.071987189,0.012362925,0.014182635
0.214767179,0.010858135,0.000495897,0.018946646,0.014033066,0.070702851,0.012671178,0.013849506
0.237704069,0.011537224,0.000542864,0.021960356,0.015498267,0.077406245,0.014472694,0.015741902
0.243194678,0.012101334,0.000554144,0.020913145,0.016257004,0.07898037,0.015278128,0.016870641
0.24357643,0.012230645,0.000644398,0.021030457,0.016352156,0.078461333,0.01442912,0.017040207
0.250438144,0.012694237,0.000636786,0.020431356,0.016561881,0.080424271,0.013520347,0.016647515
0.251995737,0.01237855,0.000577495,0.019857217,0.016336007,0.080198813,0.012470685,0.016930821
0.246435284,0.012896897,0.000563704,0.020504625,0.016731373,0.078256413,0.012590156,0.015684982
0.256299605,0.013423035,0.000574591,0.020139428,0.017381839,0.080452104,0.012849349,0.016797756
0.25693078,0.012283009,0.000563345,0.019814707,0.017088392,0.080061141,0.012770563,0.016658683
0.27295162,0.012996601,0.000598198,0.0209813,0.017679495,0.084105276,0.013422992,0.017823835
